,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
0,Take video y ga kbyang itu play/record y😊 smngt kang,Ugzsu9B2HsQhcKK5vhJ4AaABAg,http://www.youtube.com/channel/UCwuzEFvvskoc70r5hCCk55g,VALGIS PRINT,0,0,2021-12-26 07:41:40+00:00,kr0RQ9UVC_8,0,Kehidupan Seorang Petani Bibit Buah,2021-12-26
1,Di dataran tinggi p.sulawesi juga banyak batang pohon kelapa mas .,Ugw8HsZBbIpUvv1bqOJ4AaABAg,http://www.youtube.com/channel/UC0aB6vtDZPEmU-HKo1HogVw,Dwi Tin Garden,0,0,2021-12-25 14:43:04+00:00,MqpduufocZ0,0,JANGAN PERNAH LAKUIN KESALAHAN FATAL INI !!,2021-12-25
2,"Ya bang makasih.
Kasihan banget hrs ganti pohon kelapa....
😩😩😩😩",UgyWGqs7pZFfut9yFzt4AaABAg,http://www.youtube.com/channel/UCsGzTNyj92EX3ZubFm9pHYw,Mawar Merah,0,1,2021-12-25 02:08:47+00:00,MqpduufocZ0,0,JANGAN PERNAH LAKUIN KESALAHAN FATAL INI !!,2021-12-25
3,"Makasih bang infonya....
Salam dr jawa tengah.
👍👍👍🖐🖐🖐",UgzO8sjlw9vwrHS_epB4AaABAg,http://www.youtube.com/channel/UCsGzTNyj92EX3ZubFm9pHYw,Mawar Merah,0,1,2021-12-25 02:01:18+00:00,lQPtUq6xGXY,0,Jeruk yang Paling Manis - Santang  Madu?,2021-12-25
4,"Bedanya dimana mas jeruk santang madu hijau & yg warna orange....??
Dr dsunnya apa dr batangnya....??",Ugzofe4mKXGVhR597Xp4AaABAg,http://www.youtube.com/channel/UCsGzTNyj92EX3ZubFm9pHYw,Mawar Merah,1,1,2021-12-25 01:56:17+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-12-25
5,Pohon jeruk punya saya daunnya kriting 2 sama bnyk semut biar tumbuh sehat hrs pakai apa ya dek,Ugwp8Pv6uKBMLWquPAN4AaABAg,http://www.youtube.com/channel/UC6SeB5B7OZNZZMR3XCtV6Cw,Enur Nuraeni,0,0,2021-12-24 08:12:45+00:00,lQPtUq6xGXY,0,Jeruk yang Paling Manis - Santang  Madu?,2021-12-24
6,Pgn Bli bibit y bang,UgxTCG7r9Rq_sp8uzrF4AaABAg,http://www.youtube.com/channel/UCwuzEFvvskoc70r5hCCk55g,VALGIS PRINT,1,0,2021-12-23 17:56:18+00:00,qIwMy-TUg1k,1,Jeruk Tayam l sodaranya jeruk santang madu,2021-12-23
7,"4:30 makasih kang buat tipsnya, sukses selalu👍",UgyK00Tm3ETtOnH23W94AaABAg,http://www.youtube.com/channel/UCBITGqr5ATeHumcxB0_cCpw,M Harits Taqy R,1,0,2021-12-23 04:21:48+00:00,qIwMy-TUg1k,1,Jeruk Tayam l sodaranya jeruk santang madu,2021-12-23
8,Planterbag ukuran brpa bang? Yang dipakai?,Ugw3eUGlvTnwafDmkZd4AaABAg,http://www.youtube.com/channel/UClJeb59f4Zy7fZBDoVXLeBw,Ilham Putra,1,0,2021-12-22 11:22:42+00:00,ZVsPg7mFSJY,1,Buah Kecil yang Manis - Tin Dalmatie,2021-12-22
9,Bisa onlen gak ya bibitnya,UgzgIfI9WJ39ZhsNbKx4AaABAg,http://www.youtube.com/channel/UCG1OodKCaLWWi-qfPDxHRcA,Khairil Subandi,1,0,2021-12-21 12:09:00+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-12-21
10,dibuat selai enak tuh kayanya,UgzRTIh-KDERI125bHp4AaABAg,http://www.youtube.com/channel/UCGfMPj7qH0mMnWqL41zouGw,Tri Nurhadi,1,0,2021-12-16 08:34:10+00:00,a-FPKeyHkEk,1,Nipis Manis I jeruk unik mudah berbuah,2021-12-16
11,Es teh manis juga enak...,Ugw9p5jN4Et-416b0dl4AaABAg,http://www.youtube.com/channel/UCaWJq7pdZT6ay56lNundRZA,Libur telah Tiba,1,0,2021-12-16 05:38:56+00:00,a-FPKeyHkEk,1,Nipis Manis I jeruk unik mudah berbuah,2021-12-16
12,"Kalau nangka madu apa bisa tabulampot, kira2 berapa tahun berbuah, mas🙏🙏",UgyrfGhkfUdN5fPGXdV4AaABAg,http://www.youtube.com/channel/UCynvPqlc7af6sCs65QIN_eQ,Supri Yanto,2,0,2021-12-15 18:09:34+00:00,z6jIIrKKWwI,2,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-12-15
13,Review bibit mangga miyazaki kang,UgwzoXiTfZ1CxXdU4NF4AaABAg,http://www.youtube.com/channel/UC-RnB6csUaOmDWndZJQglkA,Ardy Mahendra,1,0,2021-12-15 13:40:06+00:00,IZ8qk8cYPzs,1,Buah Mangga Paling Enak l Mahacanok/ Gadung/ Manalagi ?,2021-12-15
14,Keren video review dan editing  nya. Lanjutkan bro..,UgymES-H-oJjPFP5wQF4AaABAg,http://www.youtube.com/channel/UCrvq8WfY2IYWmIrp7_7TiXg,Agus Ridwan Hidayat,1,0,2021-12-11 07:54:21+00:00,IZ8qk8cYPzs,1,Buah Mangga Paling Enak l Mahacanok/ Gadung/ Manalagi ?,2021-12-11
15,Untuk harga bibit berapa ka??,Ugwo6Dh01TEhr_oZ4PB4AaABAg,http://www.youtube.com/channel/UCLAQyJoNP27XK99JgxhH2wA,Mohamed Udeff,1,0,2021-12-07 12:56:27+00:00,IZ8qk8cYPzs,1,Buah Mangga Paling Enak l Mahacanok/ Gadung/ Manalagi ?,2021-12-07
16,"Ini yg nama nya petani melek teknologi.... 
Semangat om... Jgn lupa mampir yo",Ugyh6sHCB6QpJ2v04qZ4AaABAg,http://www.youtube.com/channel/UCaWJq7pdZT6ay56lNundRZA,Libur telah Tiba,1,0,2021-12-04 02:45:22+00:00,IZ8qk8cYPzs,1,Buah Mangga Paling Enak l Mahacanok/ Gadung/ Manalagi ?,2021-12-04
17,"Hadir om
Jangan lupa mampir",UgxO_TYl7udmxWeWBWZ4AaABAg,http://www.youtube.com/channel/UCaWJq7pdZT6ay56lNundRZA,Libur telah Tiba,0,0,2021-12-04 02:02:50+00:00,lQPtUq6xGXY,0,Jeruk yang Paling Manis - Santang  Madu?,2021-12-04
18,Budi daya tanaman buah buahan👍👍👍,Ugx7W6x-jaPJHRcyAqp4AaABAg,http://www.youtube.com/channel/UCXDNcw0abi1iLMBR4RDIxXA,IMAH CAEM VLOG,0,1,2021-12-03 03:15:52+00:00,z6jIIrKKWwI,0,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-12-03
19,Bibit nya brp kang,UgwvPPM75ZkD89curZd4AaABAg,http://www.youtube.com/channel/UCWKx6Zn7-UdQorQGZeZNafA,Ishak Icha,1,0,2021-11-27 12:49:21+00:00,z6jIIrKKWwI,1,Panen Nangka Mini - Hasil Penantian 2 Tahun !,2021-11-27
20,"Utk di dataran rendah, apa jeruk ini bisa tumbuh dan berbuah?",UgzkbawiVWfThmq_p6F4AaABAg,http://www.youtube.com/channel/UCQqIJKvirDhlJcs6LVs1WkA,FiNA,1,0,2021-11-24 09:41:09+00:00,lQPtUq6xGXY,1,Jeruk yang Paling Manis - Santang  Madu?,2021-11-24
